alpha,gamma,delta,m_max,J,success_fraction,late_fraction,shed_fraction,normalized_network_waste,records
0.05,0.75,0.02,12.0,0.7193292085818571,0.7543621472447254,0.026172883468352177,0.21946496928692247,0.0,89864
0.05,0.75,0.02,24.0,0.7192424107540283,0.7542953796848572,0.0262062672482863,0.21949835306685658,0.0,89864
0.05,0.75,0.005,12.0,0.7191678536455088,0.7541062049318971,0.02587242944894507,0.22002136561915783,0.0,89864
0.05,0.75,0.005,24.0,0.7191233419389299,0.7540616932253182,0.025861301522300366,0.22007700525238139,0.0,89864
0.05,1.25,0.02,12.0,0.7188651740407727,0.7531714590937416,0.02405857740585774,0.2227699635004006,0.0,89864
0.05,1.25,0.02,24.0,0.7188095344075491,0.7531046915338734,0.02401406569927891,0.22288124276684768,0.0,89864
0.15,0.75,0.02,12.0,0.7186771120804772,0.7538502626190688,0.026395442001246328,0.21975429537968486,0.0,89864
0.15,0.75,0.005,12.0,0.7186737737024836,0.7537055995726876,0.026005964568681563,0.2202884358586308,0.0,89864
0.15,0.75,0.005,24.0,0.7186270364105759,0.7536388320128193,0.02593919700881332,0.2204219709783673,0.0,89864
0.15,0.75,0.02,24.0,0.7186125701059379,0.7537834950592006,0.026373186147956914,0.21984331879284252,0.0,89864
0.25,0.75,0.02,12.0,0.7186114573132735,0.753883646399003,0.026651384314074603,0.21946496928692247,0.0,89864
0.25,0.75,0.02,24.0,0.7185279978634381,0.7537834950592006,0.026584616754206356,0.21963188818659307,0.0,89864
0.25,0.75,0.005,12.0,0.7184345232796225,0.7535609365263064,0.0262062672482863,0.22023279622540728,0.0,89864
0.25,0.75,0.005,24.0,0.7183176800498531,0.7534385293332146,0.02616175554170747,0.2203997151250779,0.0,89864
0.05,1.25,0.005,12.0,0.718263153209294,0.7524703997151251,0.023635716193358854,0.22389388409151606,0.0,89864
0.05,1.25,0.005,24.0,0.7181908216861035,0.7523925042286121,0.023602332413424732,0.22400516335796314,0.0,89864
0.25,1.25,0.02,12.0,0.7180784296269919,0.7527152141013086,0.024770764711119025,0.22251402118757233,0.0,89864
0.15,1.25,0.02,12.0,0.7179126235199857,0.752548295201638,0.024726253004540195,0.22272545179382178,0.0,89864
0.15,1.25,0.005,12.0,0.7176689219264666,0.7521365619157838,0.024203240452238938,0.2236601976319772,0.0,89864
0.15,1.25,0.02,24.0,0.7176054927445917,0.7522367132555862,0.024637229591382533,0.22312605715303124,0.0,89864
0.25,1.25,0.02,24.0,0.7175943648179471,0.7522144574022968,0.02460384581144841,0.2231816967862548,0.0,89864
0.25,1.25,0.005,12.0,0.7175854624766314,0.7521254339891391,0.02438128727855426,0.2234932787323066,0.0,89864
0.15,1.25,0.005,24.0,0.7173829342116976,0.7518361078963768,0.024091961185791863,0.2240719309178314,0.0,89864
0.25,1.25,0.005,24.0,0.7169222380486068,0.7514577583904567,0.024203240452238938,0.22433900115730437,0.0,89864
