analysis,load,tau_ms,cv,pairs,mean_delta_pp,p_value,holm_p_value,holm_significant,direction
robustness_only,0.2,0.0,0.0,30,0.0,,1.0,False,negative
robustness_only,0.2,0.0,0.5,30,-0.12542581993701798,0.04360503827933276,1.0,False,negative
robustness_only,0.2,0.0,1.0,30,-0.18828280208569623,0.011702643728393086,0.3978898867653649,False,negative
robustness_only,0.2,10.0,0.0,30,0.0,,1.0,False,negative
robustness_only,0.2,10.0,0.5,30,-0.12542581993701798,0.04360503827933276,1.0,False,negative
robustness_only,0.2,10.0,1.0,30,-0.22128610241572963,0.005946744628408818,0.20813606199430865,False,negative
robustness_only,0.2,50.0,0.0,30,0.0,,1.0,False,negative
robustness_only,0.2,50.0,0.5,30,-0.12542581993701798,0.04360503827933276,1.0,False,negative
robustness_only,0.2,50.0,1.0,30,-0.2475328215758343,0.003012866976013276,0.11202579806333246,False,negative
robustness_only,0.4,0.0,0.0,30,-0.08507893382437856,0.06027873482081098,1.0,False,negative
robustness_only,0.4,0.0,0.5,30,-0.12381455229485852,0.10129765541138946,1.0,False,negative
robustness_only,0.4,0.0,1.0,30,-0.30445985624060323,0.00017664658113965265,0.009185622219261938,True,negative
robustness_only,0.4,10.0,0.0,30,-0.08507893382437856,0.06027873482081098,1.0,False,negative
robustness_only,0.4,10.0,0.5,30,-0.12381455229485852,0.10129765541138946,1.0,False,negative
robustness_only,0.4,10.0,1.0,30,-0.3567702510209704,0.00012525598941152667,0.0067638234282224406,True,negative
robustness_only,0.4,50.0,0.0,30,-0.08507893382437856,0.06027873482081098,1.0,False,negative
robustness_only,0.4,50.0,0.5,30,-0.12381455229485852,0.10129765541138946,1.0,False,negative
robustness_only,0.4,50.0,1.0,30,-0.3567702510209704,0.00012525598941152667,0.0067638234282224406,True,negative
robustness_only,0.6,0.0,0.0,30,-0.11785603481919082,0.014440472216587992,0.47653558314740374,False,negative
robustness_only,0.6,0.0,0.5,30,-0.2555127219015257,0.00043188478954706884,0.017707276371429822,True,negative
robustness_only,0.6,0.0,1.0,30,-0.43922212782939357,0.00038743829236487616,0.017047284864054553,True,negative
robustness_only,0.6,10.0,0.0,30,-0.11785603481919082,0.014440472216587992,0.47653558314740374,False,negative
robustness_only,0.6,10.0,0.5,30,-0.26772273411153785,0.0003541572993966232,0.016291235772244665,True,negative
robustness_only,0.6,10.0,1.0,30,-0.47393262527102376,0.0002509674013150035,0.01204643526312017,True,negative
robustness_only,0.6,50.0,0.0,30,-0.11785603481919082,0.014440472216587992,0.47653558314740374,False,negative
robustness_only,0.6,50.0,0.5,30,-0.26772273411153785,0.0003541572993966232,0.016291235772244665,True,negative
robustness_only,0.6,50.0,1.0,30,-0.48591483874577457,0.0006205520464713362,0.02482208185885345,True,negative
robustness_only,0.8,0.0,0.0,30,-0.15244888090426228,0.00020728342763028467,0.010571454809144518,True,negative
robustness_only,0.8,0.0,0.5,30,-0.1999958214998429,0.0028724563605983604,0.11202579806333246,False,negative
robustness_only,0.8,0.0,1.0,30,-0.3968749011683807,0.00029106915197956053,0.013680250143039346,True,negative
robustness_only,0.8,10.0,0.0,30,-0.14423870028028887,0.0004105150047043914,0.01765214520228883,True,negative
robustness_only,0.8,10.0,0.5,30,-0.19999582149984338,0.002872456360598268,0.11202579806333246,False,negative
robustness_only,0.8,10.0,1.0,30,-0.4532371066524893,0.00022776699854494152,0.011160582928702135,True,negative
robustness_only,0.8,50.0,0.0,30,-0.14423870028028887,0.0004105150047043914,0.01765214520228883,True,negative
robustness_only,0.8,50.0,0.5,30,-0.19999582149984338,0.002872456360598268,0.11202579806333246,False,negative
robustness_only,0.8,50.0,1.0,30,-0.5044124475780113,0.0002148939249602445,0.010744696248012225,True,negative
robustness_only,1.0,0.0,0.0,30,-0.06989911173139376,0.09750563917508823,1.0,False,negative
robustness_only,1.0,0.0,0.5,30,-0.07220844153515457,0.18669290484584616,1.0,False,negative
