load,tau_ms,cv,baseline,pairs,mean_delta_pp,ci95_low_pp,ci95_high_pp,p_value,holm_p_value_global_162
0.2,0.0,0.0,DA-BALS-NoMargin,30,0.0,0.0,0.0,,1.0
0.2,0.0,0.0,DA-BALS-FixedMargin,30,5.222055113155037,4.267279265724683,6.17683096058539,4.891505457170086e-12,5.771976439460701e-10
0.2,0.0,0.0,DA-BALS-Adaptive,30,0.892656068010524,0.5605607280257339,1.2247514079953141,6.371302196699891e-06,0.0004141346427854929
0.2,0.0,0.5,DA-BALS-NoMargin,30,-0.12542581993701846,-0.2470017624150968,-0.0038498774589401236,0.04360503827933276,1.0
0.2,0.0,0.5,DA-BALS-FixedMargin,30,4.731448466406757,3.838802493149967,5.624094439663547,1.0250291360305142e-11,1.148032632354176e-09
0.2,0.0,0.5,DA-BALS-Adaptive,30,2.243139021743524,1.5824369424551823,2.903841101031866,1.2423690540095641e-07,1.0435900053680338e-05
0.2,0.0,1.0,DA-BALS-NoMargin,30,-0.18828280208569576,-0.3313897064719836,-0.04517589769940786,0.011702643728393082,0.3978898867653648
0.2,0.0,1.0,DA-BALS-FixedMargin,30,4.292687702171063,3.4846716203867745,5.100703783955352,9.71435539494813e-12,1.1074365150240868e-09
0.2,0.0,1.0,DA-BALS-Adaptive,30,5.1110138810860715,3.7654890587334346,6.456538703438708,1.44287247454654e-08,1.370728850819213e-06
0.2,10.0,0.0,DA-BALS-NoMargin,30,0.0,0.0,0.0,,1.0
0.2,10.0,0.0,DA-BALS-FixedMargin,30,5.222055113155037,4.267279265724683,6.17683096058539,4.891505457170086e-12,5.771976439460701e-10
0.2,10.0,0.0,DA-BALS-Adaptive,30,0.892656068010524,0.5605607280257339,1.2247514079953141,6.371302196699891e-06,0.0004141346427854929
0.2,10.0,0.5,DA-BALS-NoMargin,30,-0.12542581993701846,-0.2470017624150968,-0.0038498774589401236,0.04360503827933276,1.0
0.2,10.0,0.5,DA-BALS-FixedMargin,30,4.731448466406757,3.838802493149967,5.624094439663547,1.0250291360305142e-11,1.148032632354176e-09
0.2,10.0,0.5,DA-BALS-Adaptive,30,2.4930225840200047,1.6964482693225922,3.2895968987174173,5.335511914255464e-07,4.0549890548341526e-05
0.2,10.0,1.0,DA-BALS-NoMargin,30,-0.22128610241572869,-0.3737431197395966,-0.06882908509186075,0.005946744628408815,0.2081360619943085
0.2,10.0,1.0,DA-BALS-FixedMargin,30,4.292687702171063,3.4846716203867745,5.100703783955352,9.71435539494813e-12,1.1074365150240868e-09
0.2,10.0,1.0,DA-BALS-Adaptive,30,6.006429565244821,3.7058244563831915,8.30703467410645,9.869703356096754e-06,0.0006020519047219019
0.2,50.0,0.0,DA-BALS-NoMargin,30,0.0,0.0,0.0,,1.0
0.2,50.0,0.0,DA-BALS-FixedMargin,30,5.222055113155037,4.267279265724683,6.17683096058539,4.891505457170086e-12,5.771976439460701e-10
0.2,50.0,0.0,DA-BALS-Adaptive,30,0.892656068010524,0.5605607280257339,1.2247514079953141,6.371302196699891e-06,0.0004141346427854929
0.2,50.0,0.5,DA-BALS-NoMargin,30,-0.12542581993701846,-0.2470017624150968,-0.0038498774589401236,0.04360503827933276,1.0
0.2,50.0,0.5,DA-BALS-FixedMargin,30,4.731448466406757,3.838802493149967,5.624094439663547,1.0250291360305142e-11,1.148032632354176e-09
0.2,50.0,0.5,DA-BALS-Adaptive,30,2.4930225840200047,1.6964482693225922,3.2895968987174173,5.335511914255464e-07,4.0549890548341526e-05
0.2,50.0,1.0,DA-BALS-NoMargin,30,-0.24753282157583384,-0.40389535575972246,-0.09117028739194519,0.003012866976013247,0.11202579806333246
0.2,50.0,1.0,DA-BALS-FixedMargin,30,4.224246890183954,3.4010931173383283,5.047400663029579,2.177575716511857e-11,2.3082302595025687e-09
0.2,50.0,1.0,DA-BALS-Adaptive,30,6.674178746319807,4.140082700006188,9.208274792633427,8.664267845891715e-06,0.0005371846064452864
0.4,0.0,0.0,DA-BALS-NoMargin,30,-0.08507893382437952,-0.17408312459566655,0.003925256946907527,0.06027873482080995,1.0
0.4,0.0,0.0,DA-BALS-FixedMargin,30,4.158454525561465,3.682556341101902,4.634352710021028,3.384098749012677e-17,4.974625161048635e-15
0.4,0.0,0.0,DA-BALS-Adaptive,30,0.9632189684114701,0.66565640470684,1.2607815321161002,2.948734506310972e-07,2.3589876050487775e-05
0.4,0.0,0.5,DA-BALS-NoMargin,30,-0.12381455229485804,-0.2734459867291945,0.025816882139478428,0.10129765541139021,1.0
